2023-05-30 18:23:18.585684 [info]:  =============Server init================
2023-05-30 18:23:18.585706 [info]:  Port: 1316,OpenLinger: false
2023-05-30 18:23:18.585762 [info]:  Listen Mode: ET, Conn Mode: ET
2023-05-30 18:23:18.585835 [info]:  Log level: 1
2023-05-30 18:23:18.585867 [info]:  srcDir: /home/wxy/Projects/my-WebServer/resources/
2023-05-30 18:23:18.585885 [info]:  SqlConnPool num: 12, ThreadPool num: 6
2023-05-30 18:23:18.585894 [info]:  ================Server start================
2023-05-30 18:23:23.664527 [info]:  Client[18](10.28.188.131:37321) in, userCount: 1
2023-05-30 18:23:23.664615 [info]:  Client[18] in!
2023-05-30 18:23:23.708174 [info]:  Client[19](10.28.188.131:37577) in, userCount: 2
2023-05-30 18:23:23.708244 [info]:  Client[19] in!
2023-05-30 18:23:23.708274 [info]:  Client[20](10.28.188.131:37833) in, userCount: 3
2023-05-30 18:23:23.708316 [info]:  Client[20] in!
2023-05-30 18:23:23.708355 [info]:  Client[21](10.28.188.131:38089) in, userCount: 4
2023-05-30 18:23:23.708380 [info]:  Client[21] in!
2023-05-30 18:23:23.708636 [info]:  Client[22](10.28.188.131:38345) in, userCount: 5
2023-05-30 18:23:23.708681 [info]:  Client[22] in!
2023-05-30 18:23:23.710167 [info]:  Client[23](10.28.188.131:38601) in, userCount: 6
2023-05-30 18:23:23.710233 [info]:  Client[23] in!
2023-05-30 18:23:32.015643 [info]:  Client[21] quit!
2023-05-30 18:23:32.016481 [info]:  Client[21](10.28.188.131:38089) quit, userCount: 5
2023-05-30 18:23:32.044361 [info]:  Client[21](10.28.188.131:46537) in, userCount: 6
2023-05-30 18:23:32.044431 [info]:  Client[21] in!
2023-05-30 18:23:37.937135 [info]:  Verify name:wxy pwd:094612
2023-05-30 18:23:44.610795 [info]:  Verify name:haha pwd:haha
2023-05-30 18:23:59.668120 [info]:  Verify name:haha2 pwd:haha
2023-05-30 18:25:00.361699 [info]:  Client[19] quit!
2023-05-30 18:25:00.361848 [info]:  Client[19](10.28.188.131:37577) quit, userCount: 5
2023-05-30 18:25:00.361898 [info]:  Client[21] quit!
2023-05-30 18:25:00.361942 [info]:  Client[21](10.28.188.131:46537) quit, userCount: 4
2023-05-30 18:25:00.361972 [info]:  Client[20] quit!
2023-05-30 18:25:00.362022 [info]:  Client[20](10.28.188.131:37833) quit, userCount: 3
2023-05-30 18:25:00.362047 [info]:  Client[22] quit!
2023-05-30 18:25:00.362083 [info]:  Client[22](10.28.188.131:38345) quit, userCount: 2
2023-05-30 18:25:00.362116 [info]:  Client[23] quit!
2023-05-30 18:25:00.362151 [info]:  Client[23](10.28.188.131:38601) quit, userCount: 1
2023-05-30 18:25:00.362175 [info]:  Client[18] quit!
2023-05-30 18:25:00.362208 [info]:  Client[18](10.28.188.131:37321) quit, userCount: 0
2023-05-30 18:25:15.031965 [info]:  Client[20] quit!
2023-05-30 18:25:15.032089 [info]:  Client[19] quit!
2023-05-30 18:25:15.032121 [info]:  Client[22] quit!
2023-05-30 18:25:15.032141 [info]:  Client[21] quit!
2023-05-30 18:25:15.035277 [info]:  Client[23] quit!
